"filename","dataset","primary_category","original_primary_type_cn","tags_cn","note_cn"
"CAER_Anger_0097_lvl_0.mp4","CAER","hand_or_body_occlusion","手/身体遮挡","手/身体遮挡、脸部局部不可见","手挡脸"
"CAER_Anger_0173_lvl_0.mp4","CAER","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","前景人物遮挡"
"CAER_Anger_0208_lvl_0.mp4","CAER","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","前景虚化遮挡"
"CAER_Fear_0070_lvl_0.mp4","CAER","side_facing_or_turning_away","侧脸/转头","侧脸/转头","背身对话，脸不全"
"CAER_Fear_0214_lvl_0.mp4","CAER","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","纸张/牌子遮挡脸"
"CAER_Happy_0218_lvl_0.mp4","CAER","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","前景人物背部遮挡"
"CAER_Happy_0220_lvl_0.mp4","CAER","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","前景人物遮挡"
"CAER_Neutral_0216_lvl_0.mp4","CAER","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","前景人物背部遮挡"
"CAER_Sad_0210_lvl_0.mp4","CAER","side_facing_or_turning_away","侧脸/转头","侧脸/转头","偏侧脸"
"CAER_Surprise_0209_lvl_0.mp4","CAER","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","前景人物/身体遮挡"
"DFEW_Anger_10378.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡、暗光/低可见度","前景人物挡脸，场景偏暗"
"DFEW_Anger_12408.mp4","DFEW","side_facing_or_turning_away","侧脸/转头","侧脸/转头","低头转向，脸部不完整"
"DFEW_Anger_13156.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","门框/镜面结构遮挡"
"DFEW_Anger_13361_lvl_0.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","前景人头遮挡"
"DFEW_Anger_13411.mp4","DFEW","low_light_or_low_visibility","暗光/低可见度","暗光/低可见度","暗光下脸不清"
"DFEW_Anger_15729_lvl_0.mp4","DFEW","side_facing_or_turning_away","侧脸/转头","侧脸/转头","明显侧向交流"
"DFEW_Anger_7517_lvl_0.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","栅栏/前景结构遮挡"
"DFEW_Fear_14870.mp4","DFEW","hand_or_body_occlusion","手/身体遮挡","手/身体遮挡、前景/物体遮挡","手臂/道具挡脸"
"DFEW_Fear_16309.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","楼梯/结构遮挡"
"DFEW_Fear_3093_lvl_0.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","方向盘挡住下半脸"
"DFEW_Fear_3287_lvl_0.mp4","DFEW","hand_or_body_occlusion","手/身体遮挡","手/身体遮挡、前景/物体遮挡","手靠近脸并被门框切割"
"DFEW_Fear_4059.mp4","DFEW","low_light_or_low_visibility","暗光/低可见度","暗光/低可见度","红暗光脸不清"
"DFEW_Fear_9340_lvl_0.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","坑洞/前景遮挡"
"DFEW_Happy_11689.mp4","DFEW","low_light_or_low_visibility","暗光/低可见度","暗光/低可见度","黑边/低可见度构图"
"DFEW_Happy_14551.mp4","DFEW","low_light_or_low_visibility","暗光/低可见度","暗光/低可见度","昏暗暖光，脸部可见性一般"
"DFEW_Happy_5678_lvl_0.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","门框/手臂遮挡"
"DFEW_Neutral_11540.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","车窗/车顶结构遮挡"
"DFEW_Neutral_14579_lvl_0.mp4","DFEW","low_light_or_low_visibility","暗光/低可见度","暗光/低可见度","黑暗中轮廓脸"
"DFEW_Neutral_1969_lvl_0.mp4","DFEW","low_light_or_low_visibility","暗光/低可见度","暗光/低可见度、前景/物体遮挡","车内暗光"
"DFEW_Sad_10519.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","被周围物件挤压遮挡"
"DFEW_Sad_12751_lvl_0.mp4","DFEW","low_light_or_low_visibility","暗光/低可见度","暗光/低可见度","暖暗光脸不清"
"DFEW_Sad_13060.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","容器/边缘遮挡"
"DFEW_Sad_13157.mp4","DFEW","hand_or_body_occlusion","手/身体遮挡","手/身体遮挡","手挡脸"
"DFEW_Sad_14001.mp4","DFEW","low_light_or_low_visibility","暗光/低可见度","暗光/低可见度","暗光软焦"
"DFEW_Sad_1_lvl_0.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","门缝/门框遮挡"
"DFEW_Sad_5799_lvl_0.mp4","DFEW","low_light_or_low_visibility","暗光/低可见度","暗光/低可见度、侧脸/转头","红暗光侧脸"
"DFEW_Sad_7860_lvl_0.mp4","DFEW","low_light_or_low_visibility","暗光/低可见度","暗光/低可见度","绿暗光脸不清"
"DFEW_Surprise_12092.mp4","DFEW","hand_or_body_occlusion","手/身体遮挡","手/身体遮挡","双手抱头遮挡"
"DFEW_Surprise_12822.mp4","DFEW","low_light_or_low_visibility","暗光/低可见度","暗光/低可见度","车内暗光"
"DFEW_Surprise_4924_lvl_0.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","镜面/反射遮挡"
"DFEW_Surprise_5337_lvl_0.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","墙角/门框遮挡"
"DFEW_anger_8071.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡、暗光/低可见度","车内结构挡住部分脸"
"DFEW_disgust_5552.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","车窗/车门框遮挡"
"DFEW_disgust_6417.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","枝叶遮挡脸"
"DFEW_fear_6525.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","从门后/墙后探出"
"DFEW_neutral_2335_lvl_0.mp4","DFEW","foreground_or_object_occlusion","前景/物体遮挡","前景/物体遮挡","窗框/窗扇遮挡"
